FILIAL;DATA_VENDA;PRODUTO;DESC_PRODUTO;GRUPO_PRODUTO;SUBGRUPO_PRODUTO;QTDE_LIQUIDA;
HAVAIANAS MINAS SHOPP    ;19/11/2021;4000029;SANDALIA HAVAIANAS TOP                  ;CALCADOS                 ;SANDALIA                 ;0;
HAVAIANAS MINAS SHOPP    ;20/11/2021;4000029;SANDALIA HAVAIANAS TOP                  ;CALCADOS                 ;SANDALIA                 ;0;
HAVAIANAS MINAS SHOPP    ;22/11/2021;4000029;SANDALIA HAVAIANAS TOP                  ;CALCADOS                 ;SANDALIA                 ;1;
HAVAIANAS MINAS SHOPP    ;12/01/2022;4000029;SANDALIA HAVAIANAS TOP                  ;CALCADOS                 ;SANDALIA                 ;1;
HAVAIANAS MINAS SHOPP    ;26/07/2022;4000029;SANDALIA HAVAIANAS TOP                  ;CALCADOS                 ;SANDALIA                 ;0;
HAVAIANAS MINAS SHOPP    ;05/10/2022;4000029;SANDALIA HAVAIANAS TOP                  ;CALCADOS                 ;SANDALIA                 ;1;
HAVAIANAS SAVASSI BH     ;06/09/2022;4000029;SANDALIA HAVAIANAS TOP                  ;CALCADOS                 ;SANDALIA                 ;1;
HAVAIANAS MINAS SHOPP    ;19/11/2021;4000029;SANDALIA HAVAIANAS TOP                  ;CALCADOS                 ;SANDALIA                 ;0;
HAVAIANAS MINAS SHOPP    ;23/11/2021;4000029;SANDALIA HAVAIANAS TOP                  ;CALCADOS                 ;SANDALIA                 ;0;
HAVAIANAS MINAS SHOPP    ;03/12/2021;4000029;SANDALIA HAVAIANAS TOP                  ;CALCADOS                 ;SANDALIA                 ;1;
HAVAIANAS MINAS SHOPP    ;08/12/2021;4000029;SANDALIA HAVAIANAS TOP                  ;CALCADOS                 ;SANDALIA                 ;1;
HAVAIANAS MINAS SHOPP    ;30/12/2021;4000029;SANDALIA HAVAIANAS TOP                  ;CALCADOS                 ;SANDALIA                 ;2;
HAVAIANAS MINAS SHOPP    ;12/02/2022;4000029;SANDALIA HAVAIANAS TOP                  ;CALCADOS                 ;SANDALIA                 ;1;
HAVAIANAS MINAS SHOPP    ;23/02/2022;4000029;SANDALIA HAVAIANAS TOP                  ;CALCADOS                 ;SANDALIA                 ;0;
HAVAIANAS MINAS SHOPP    ;05/03/2022;4000029;SANDALIA HAVAIANAS TOP                  ;CALCADOS                 ;SANDALIA                 ;0;
HAVAIANAS MINAS SHOPP    ;12/03/2022;4000029;SANDALIA HAVAIANAS TOP                  ;CALCADOS                 ;SANDALIA                 ;0;
HAVAIANAS MINAS SHOPP    ;16/03/2022;4000029;SANDALIA HAVAIANAS TOP                  ;CALCADOS                 ;SANDALIA                 ;0;
HAVAIANAS MINAS SHOPP    ;30/03/2022;4000029;SANDALIA HAVAIANAS TOP                  ;CALCADOS                 ;SANDALIA                 ;0;
HAVAIANAS MINAS SHOPP    ;07/09/2022;4000029;SANDALIA HAVAIANAS TOP                  ;CALCADOS                 ;SANDALIA                 ;1;
HAVAIANAS MINAS SHOPP    ;25/09/2022;4000029;SANDALIA HAVAIANAS TOP                  ;CALCADOS                 ;SANDALIA                 ;1;
HAVAIANAS MINAS SHOPP    ;14/11/2021;4000029;SANDALIA HAVAIANAS TOP                  ;CALCADOS                 ;SANDALIA                 ;1;
HAVAIANAS MINAS SHOPP    ;19/11/2021;4000029;SANDALIA HAVAIANAS TOP                  ;CALCADOS                 ;SANDALIA                 ;0;
HAVAIANAS MINAS SHOPP    ;25/11/2021;4000029;SANDALIA HAVAIANAS TOP                  ;CALCADOS                 ;SANDALIA                 ;1;
HAVAIANAS MINAS SHOPP    ;16/12/2021;4000029;SANDALIA HAVAIANAS TOP                  ;CALCADOS                 ;SANDALIA                 ;1;
HAVAIANAS MINAS SHOPP    ;17/12/2021;4000029;SANDALIA HAVAIANAS TOP                  ;CALCADOS                 ;SANDALIA                 ;1;
HAVAIANAS MINAS SHOPP    ;19/12/2021;4000029;SANDALIA HAVAIANAS TOP                  ;CALCADOS                 ;SANDALIA                 ;1;
HAVAIANAS MINAS SHOPP    ;21/12/2021;4000029;SANDALIA HAVAIANAS TOP                  ;CALCADOS                 ;SANDALIA                 ;-1;
HAVAIANAS MINAS SHOPP    ;26/12/2021;4000029;SANDALIA HAVAIANAS TOP                  ;CALCADOS                 ;SANDALIA                 ;1;
HAVAIANAS MINAS SHOPP    ;29/12/2021;4000029;SANDALIA HAVAIANAS TOP                  ;CALCADOS                 ;SANDALIA                 ;1;
HAVAIANAS MINAS SHOPP    ;30/12/2021;4000029;SANDALIA HAVAIANAS TOP                  ;CALCADOS                 ;SANDALIA                 ;1;
HAVAIANAS MINAS SHOPP    ;24/01/2022;4000029;SANDALIA HAVAIANAS TOP                  ;CALCADOS                 ;SANDALIA                 ;1;
HAVAIANAS MINAS SHOPP    ;01/02/2022;4000029;SANDALIA HAVAIANAS TOP                  ;CALCADOS                 ;SANDALIA                 ;1;
HAVAIANAS MINAS SHOPP    ;08/09/2022;4000029;SANDALIA HAVAIANAS TOP                  ;CALCADOS                 ;SANDALIA                 ;1;
HAVAIANAS MINAS SHOPP    ;23/09/2022;4000029;SANDALIA HAVAIANAS TOP                  ;CALCADOS                 ;SANDALIA                 ;1;
HAVAIANAS MINAS SHOPP    ;07/10/2022;4000029;SANDALIA HAVAIANAS TOP                  ;CALCADOS                 ;SANDALIA                 ;1;
HAVAIANAS SAVASSI BH     ;12/09/2022;4000029;SANDALIA HAVAIANAS TOP                  ;CALCADOS                 ;SANDALIA                 ;1;
HAVAIANAS MINAS SHOPP    ;01/11/2021;4000029;SANDALIA HAVAIANAS TOP                  ;CALCADOS                 ;SANDALIA                 ;2;
HAVAIANAS MINAS SHOPP    ;04/11/2021;4000029;SANDALIA HAVAIANAS TOP                  ;CALCADOS                 ;SANDALIA                 ;1;
HAVAIANAS MINAS SHOPP    ;05/11/2021;4000029;SANDALIA HAVAIANAS TOP                  ;CALCADOS                 ;SANDALIA                 ;1;
HAVAIANAS MINAS SHOPP    ;14/11/2021;4000029;SANDALIA HAVAIANAS TOP                  ;CALCADOS                 ;SANDALIA                 ;0;
HAVAIANAS MINAS SHOPP    ;18/11/2021;4000029;SANDALIA HAVAIANAS TOP                  ;CALCADOS                 ;SANDALIA                 ;1;
HAVAIANAS MINAS SHOPP    ;29/11/2021;4000029;SANDALIA HAVAIANAS TOP                  ;CALCADOS                 ;SANDALIA                 ;1;
HAVAIANAS MINAS SHOPP    ;07/12/2021;4000029;SANDALIA HAVAIANAS TOP                  ;CALCADOS                 ;SANDALIA                 ;1;
HAVAIANAS MINAS SHOPP    ;19/12/2021;4000029;SANDALIA HAVAIANAS TOP                  ;CALCADOS                 ;SANDALIA                 ;1;
HAVAIANAS MINAS SHOPP    ;09/10/2022;4000029;SANDALIA HAVAIANAS TOP                  ;CALCADOS                 ;SANDALIA                 ;1;
HAVAIANAS SAVASSI BH     ;09/09/2022;4000029;SANDALIA HAVAIANAS TOP                  ;CALCADOS                 ;SANDALIA                 ;1;
HAVAIANAS SAVASSI BH     ;20/09/2022;4000029;SANDALIA HAVAIANAS TOP                  ;CALCADOS                 ;SANDALIA                 ;1;
HAVAIANAS MINAS SHOPP    ;04/11/2021;4000029;SANDALIA HAVAIANAS TOP                  ;CALCADOS                 ;SANDALIA                 ;1;
HAVAIANAS MINAS SHOPP    ;06/11/2021;4000029;SANDALIA HAVAIANAS TOP                  ;CALCADOS                 ;SANDALIA                 ;1;
HAVAIANAS MINAS SHOPP    ;03/12/2021;4000029;SANDALIA HAVAIANAS TOP                  ;CALCADOS                 ;SANDALIA                 ;1;
HAVAIANAS MINAS SHOPP    ;15/12/2021;4000029;SANDALIA HAVAIANAS TOP                  ;CALCADOS                 ;SANDALIA                 ;1;
HAVAIANAS MINAS SHOPP    ;09/01/2022;4000029;SANDALIA HAVAIANAS TOP                  ;CALCADOS                 ;SANDALIA                 ;1;
HAVAIANAS MINAS SHOPP    ;12/01/2022;4000029;SANDALIA HAVAIANAS TOP                  ;CALCADOS                 ;SANDALIA                 ;1;
HAVAIANAS MINAS SHOPP    ;15/01/2022;4000029;SANDALIA HAVAIANAS TOP                  ;CALCADOS                 ;SANDALIA                 ;1;
HAVAIANAS MINAS SHOPP    ;29/06/2022;4000029;SANDALIA HAVAIANAS TOP                  ;CALCADOS                 ;SANDALIA                 ;0;
HAVAIANAS MINAS SHOPP    ;17/09/2022;4000029;SANDALIA HAVAIANAS TOP                  ;CALCADOS                 ;SANDALIA                 ;1;
HAVAIANAS MINAS SHOPP    ;18/09/2022;4000029;SANDALIA HAVAIANAS TOP                  ;CALCADOS                 ;SANDALIA                 ;1;
HAVAIANAS MINAS SHOPP    ;01/10/2022;4000029;SANDALIA HAVAIANAS TOP                  ;CALCADOS                 ;SANDALIA                 ;1;
HAVAIANAS SAVASSI BH     ;06/09/2022;4000029;SANDALIA HAVAIANAS TOP                  ;CALCADOS                 ;SANDALIA                 ;1;
HAVAIANAS SAVASSI BH     ;12/09/2022;4000029;SANDALIA HAVAIANAS TOP                  ;CALCADOS                 ;SANDALIA                 ;1;
HAVAIANAS SAVASSI BH     ;07/10/2022;4000029;SANDALIA HAVAIANAS TOP                  ;CALCADOS                 ;SANDALIA                 ;1;
HAVAIANAS MINAS SHOPP    ;02/11/2021;4000029;SANDALIA HAVAIANAS TOP                  ;CALCADOS                 ;SANDALIA                 ;-1;
HAVAIANAS MINAS SHOPP    ;12/11/2021;4000029;SANDALIA HAVAIANAS TOP                  ;CALCADOS                 ;SANDALIA                 ;1;
HAVAIANAS MINAS SHOPP    ;26/11/2021;4000029;SANDALIA HAVAIANAS TOP                  ;CALCADOS                 ;SANDALIA                 ;1;
HAVAIANAS MINAS SHOPP    ;01/12/2021;4000029;SANDALIA HAVAIANAS TOP                  ;CALCADOS                 ;SANDALIA                 ;1;
HAVAIANAS MINAS SHOPP    ;04/12/2021;4000029;SANDALIA HAVAIANAS TOP                  ;CALCADOS                 ;SANDALIA                 ;1;
